# FractureId; NumTraces
0; 113
# TraceId; Tips; Length
673; 1; 1.5468875595449519e-01
706; 1; 1.5312385366148851e-01
693; 1; 1.4819483121327795e-01
665; 1; 1.3539678510534289e-01
683; 1; 1.1900211543832613e-01
676; 1; 1.1675597022842318e-01
687; 1; 1.1132689257445423e-01
702; 1; 9.9723754981210985e-02
703; 1; 9.6901442459212547e-02
711; 1; 9.2662853137979520e-02
643; 1; 9.2117033769859552e-02
670; 1; 9.0910384533102906e-02
710; 1; 5.4987212255222712e-02
667; 1; 5.3605437285897346e-02
713; 1; 1.6694644716111054e-02
641; 1; 9.0621829412053823e-04
# FractureId; NumTraces
7; 94
# TraceId; Tips; Length
735; 0; 1.4127774680994682e+00
115; 0; 9.8967473624912283e-01
802; 0; 7.0435246070805846e-01
748; 0; 6.1502835050223281e-01
726; 0; 1.4497990845695252e-01
786; 0; 1.1815654667236856e-01
785; 0; 1.1031267632867189e-01
744; 0; 3.8505452729140306e-02
774; 1; 1.3290779509404407e+00
762; 1; 1.2713856354997983e+00
736; 1; 1.1749422158373075e+00
773; 1; 1.1484374381898088e+00
768; 1; 9.6310021508092236e-01
750; 1; 9.0003627247632934e-01
733; 1; 8.9288338458604355e-01
754; 1; 8.5037342490321377e-01
796; 1; 8.2899753830188549e-01
800; 1; 8.1889768770653726e-01
763; 1; 8.1098920047137568e-01
755; 1; 8.0293773338539243e-01
747; 1; 7.8782849061177140e-01
781; 1; 7.7933289019615459e-01
803; 1; 7.5747391741498205e-01
777; 1; 7.4457378455535483e-01
792; 1; 7.2973013879940485e-01
722; 1; 7.1582302130403930e-01
745; 1; 7.0304301458340657e-01
743; 1; 6.9837295586847992e-01
789; 1; 6.8737585185623251e-01
795; 1; 6.4573439862166260e-01
780; 1; 6.3666477034869251e-01
731; 1; 6.2590595903634838e-01
